2009-08-12 22:15:05 Debug: Notice (8): Undefined property: UnlimitedTariffsController::$unlimited_tariffs in [APP\controllers\unlimited_tariffs_controller.php, line 5]
2009-08-14 21:50:54 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:54 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:54 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:54 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:54 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:06 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:08 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:02:08 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:04:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:22 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:05:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:22 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:06:23 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:13:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:14:48 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:15:12 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:17:37 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:18:00 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-14 22:18:01 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-14 22:18:37 Debug: Notice (8): Undefined variable: unlimitedtariffs in [APP\views\unlimited_tariffs\edit.ctp, line 1]
2009-08-14 22:18:38 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:19:10 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\unlimited_tariffs\edit.ctp, line 1]
2009-08-14 22:19:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:19:55 Debug: Notice (8): Undefined variable: UnlimitedTariff in [APP\views\unlimited_tariffs\edit.ctp, line 1]
2009-08-14 22:19:56 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:21:08 Debug: Notice (8): Undefined variable: data in [APP\views\unlimited_tariffs\edit.ctp, line 1]
2009-08-14 22:21:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:22:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:22:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:22:49 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:33:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:35:29 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:36:05 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 22:36:32 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-15 22:37:38 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-15 22:38:10 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\users\index.ctp, line 93]
2009-08-15 22:39:10 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\users\index.ctp, line 93]
2009-08-15 22:39:11 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\users\index.ctp, line 93]
2009-08-15 22:41:00 Debug: Notice (8): Undefined index:  name in [APP\views\users\index.ctp, line 101]
2009-08-15 22:44:31 Debug: Notice (8): Undefined index:  UnlimitedTariff in [APP\views\users\index.ctp, line 101]
2009-08-15 22:45:47 Debug: Notice (8): Undefined index:  UnlimitedTariff in [APP\views\users\index.ctp, line 101]
2009-08-15 22:47:50 Debug: Notice (8): Undefined variable: user in [APP\views\users\index.ctp, line 105]
2009-08-15 22:48:12 Debug: Notice (8): Undefined variable: user in [APP\views\users\index.ctp, line 105]
2009-08-15 22:50:51 Debug: Notice (8): Undefined variable: user in [APP\views\users\index.ctp, line 105]
2009-08-15 22:51:11 Debug: Notice (8): Undefined index:  name in [APP\views\users\index.ctp, line 101]
2009-08-15 22:52:13 Debug: Notice (8): Undefined index:  name in [APP\views\users\index.ctp, line 101]
2009-08-15 22:54:55 Debug: Notice (8): Undefined variable: user in [APP\views\users\index.ctp, line 105]
2009-08-15 22:56:32 Debug: Notice (8): Undefined index:  UnlimitedTariff in [APP\views\users\index.ctp, line 101]
2009-08-15 22:57:12 Debug: Notice (8): Undefined variable: user in [APP\views\users\index.ctp, line 105]
2009-08-16 20:40:42 Debug: Notice (8): Undefined property: UsersController::$UnlimitedTariff in [APP\controllers\users_controller.php, line 25]
2009-08-16 21:11:59 Debug: Notice (8): Undefined property: UsersController::$UnlimitedTariff in [APP\controllers\users_controller.php, line 10]
2009-08-16 21:13:19 Debug: Notice (8): Undefined variable: UnlimitedTariffsController in [APP\controllers\users_controller.php, line 10]
2009-08-16 21:13:19 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\users_controller.php, line 10]
2009-08-16 21:31:23 Debug: Notice (8): Array to string conversion in [APP\views\users\index.ctp, line 124]
2009-08-16 21:31:23 Debug: Notice (8): Undefined variable: Array in [APP\views\users\index.ctp, line 124]
2009-08-16 21:44:18 Debug: Notice (8): Undefined variable: UnlimitedTariffs_list in [APP\views\users\index.ctp, line 124]
2009-08-19 12:11:45 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:12:14 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:12:26 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\users_controller.php, line 25]
2009-08-19 12:12:26 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\users_controller.php, line 27]
2009-08-19 12:13:02 Debug: Notice (8): Undefined index:  balance in [APP\controllers\users_controller.php, line 25]
2009-08-19 12:13:02 Debug: Notice (8): Undefined index:  balance in [APP\controllers\users_controller.php, line 27]
2009-08-19 12:13:49 Debug: Notice (8): Undefined index:  balance in [APP\controllers\users_controller.php, line 25]
2009-08-19 12:13:49 Debug: Notice (8): Undefined index:  balance in [APP\controllers\users_controller.php, line 27]
2009-08-19 12:17:32 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:26:04 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:28:52 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:30:31 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:33:04 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:35:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:36:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:37:39 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:39:40 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:40:18 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:40:46 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:41:10 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:41:21 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:41:36 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:41:45 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:45:12 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:45:50 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:46:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:46:45 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 12:56:57 Debug: Notice (8): Undefined variable: rhis in [APP\controllers\users_controller.php, line 31]
2009-08-19 12:56:57 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\users_controller.php, line 31]
2009-08-19 12:58:19 Debug: Notice (8): Undefined variable: rhis in [APP\controllers\users_controller.php, line 31]
2009-08-19 12:58:19 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\users_controller.php, line 31]
2009-08-19 14:43:16 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 15:24:20 Debug: Notice (8): Undefined variable: host in [APP\vendors\mikrotik.php, line 10]
2009-08-19 15:26:45 Debug: Notice (8): Undefined property: Server::$username in [APP\vendors\mikrotik.php, line 11]
2009-08-19 15:35:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 15:36:24 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 15:37:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 15:38:31 Debug: Notice (8): Undefined property: Server::$username in [APP\vendors\mikrotik.php, line 11]
2009-08-19 15:38:31 Debug: Notice (8): Undefined variable: password in [APP\vendors\mikrotik.php, line 11]
2009-08-19 15:38:44 Debug: Notice (8): Undefined property: Server::$username in [APP\vendors\mikrotik.php, line 11]
2009-08-19 15:39:11 Debug: Notice (8): Undefined property: Server::$username in [APP\vendors\mikrotik.php, line 11]
2009-08-19 15:43:15 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 15:44:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:26:21 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:32:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:34:14 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:37:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:37:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:38:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:41:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 16:49:39 Debug: Notice (8): Undefined variable: shell in [APP\vendors\mikrotik.php, line 40]
2009-08-19 17:01:50 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 17:06:28 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 17:07:35 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 10]
2009-08-19 17:14:25 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:15:01 Debug: Notice (8): Undefined variable: deactivatedUsers in [APP\controllers\users_controller.php, line 63]
2009-08-19 17:15:01 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:15:01 Debug: Notice (8): Undefined variable: deactivatedUsers in [APP\controllers\users_controller.php, line 63]
2009-08-19 17:15:01 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:15:50 Debug: Notice (8): Undefined variable: deactivatedUsers in [APP\controllers\users_controller.php, line 63]
2009-08-19 17:15:50 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:15:50 Debug: Notice (8): Undefined variable: deactivatedUsers in [APP\controllers\users_controller.php, line 63]
2009-08-19 17:15:50 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:21 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:38 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:42 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:43 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:45 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:46 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:47 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:48 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:49 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:51 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:16:52 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:19:36 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:09 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:11 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:12 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:13 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:26 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
2009-08-19 17:25:28 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 14]
